name,rate,gender
OLIVER ,"6,623",boy
HARRY ,"5,284",boy
GEORGE ,"5,263",boy
JACK ,"4,751",boy
JACOB ,"4,485",boy
NOAH ,"4,305",boy
CHARLIE ,"4,190",boy
MUHAMMAD ,"3,908",boy
THOMAS ,"3,898",boy
OSCAR ,"3,894",boy
WILLIAM ,"3,819",boy
JAMES ,"3,580",boy
LEO ,"3,563",boy
ALFIE ,"3,555",boy
HENRY ,"3,527",boy
JOSHUA ,"3,495",boy
FREDDIE ,"3,287",boy
ARCHIE ,"2,791",boy
ETHAN ,"2,722",boy
ISAAC ,"2,662",boy
ALEXANDER ,"2,567",boy
JOSEPH ,"2,506",boy
EDWARD ,"2,429",boy
SAMUEL ,"2,413",boy
MAX ,"2,405",boy
LOGAN ,"2,335",boy
LUCAS ,"2,332",boy
DANIEL ,"2,290",boy
THEO ,"2,279",boy
ARTHUR ,"2,270",boy
MOHAMMED ,"2,228",boy
HARRISON ,"2,220",boy
BENJAMIN ,"2,153",boy
MASON ,"2,131",boy
FINLEY ,"2,022",boy
SEBASTIAN ,"1,990",boy
ADAM ,"1,815",boy
DYLAN ,"1,784",boy
ZACHARY ,"1,670",boy
RILEY ,"1,556",boy
TEDDY ,"1,491",boy
THEODORE ,"1,484",boy
DAVID ,"1,461",boy
ELIJAH ,"1,412",boy
JAKE ,"1,405",boy
TOBY ,"1,400",boy
LOUIE ,"1,380",boy
REUBEN ,"1,322",boy
ARLO ,"1,285",boy
HUGO ,"1,234",boy
JAXON ,"1,161",boy
LUCA ,"1,144",boy
MATTHEW ,"1,110",boy
HARVEY ,"1,102",boy
HARLEY ,"1,083",boy
REGGIE ,"1,083",boy
TOMMY ,"1,066",boy
JENSON ,"1,064",boy
LUKE ,"1,056",boy
MICHAEL ,"1,056",boy
JAYDEN ,"1,050",boy
JUDE ,"1,047",boy
FRANKIE ,"1,029",boy
ALBERT ,"1,028",boy
STANLEY ,"1,019",boy
ELLIOT ,999,boy
GABRIEL ,995,boy
MOHAMMAD ,948,boy
OLLIE ,923,boy
RONNIE ,921,boy
LOUIS ,911,boy
CHARLES ,910,boy
BLAKE ,893,boy
ELLIOTT ,892,boy
LEWIS ,884,boy
FREDERICK ,874,boy
NATHAN ,872,boy
TYLER ,863,boy
JACKSON ,858,boy
RORY ,856,boy
RYAN ,855,boy
CARTER ,839,boy
DEXTER ,831,boy
ALEX ,813,boy
AUSTIN ,812,boy
CALEB ,810,boy
KAI ,794,boy
ALBIE ,788,boy
ELLIS ,783,boy
BOBBY ,775,boy
EZRA ,763,boy
LEON ,737,boy
ROMAN ,737,boy
JESSE ,723,boy
AARON ,704,boy
IBRAHIM ,701,boy
LIAM ,698,boy
JASPER ,683,boy
FELIX ,666,boy
FINN ,650,boy
TOBIAS ,647,boy
JAMIE ,641,boy
CONNOR ,638,boy
AIDEN ,622,boy
ELI ,619,boy
ROWAN ,619,boy
SETH ,611,boy
YUSUF ,610,boy
ROBERT ,597,boy
CALLUM ,594,boy
ALFRED ,589,boy
RALPH ,587,boy
OWEN ,586,boy
PATRICK ,582,boy
DOMINIC ,573,boy
SONNY ,563,boy
HUNTER ,538,boy
MUHAMMED ,534,boy
JOEL ,524,boy
JOHN ,512,boy
EVAN ,509,boy
AYAAN ,507,boy
MAXWELL ,504,boy
MILO ,504,boy
KIAN ,499,boy
CODY ,491,boy
BILLY ,485,boy
LINCOLN ,478,boy
NATHANIEL ,476,boy
FINLAY ,467,boy
JOEY ,459,boy
LEONARDO ,453,boy
ALI ,452,boy
OAKLEY ,445,boy
ROCCO ,441,boy
RUPERT ,438,boy
MUSA ,431,boy
CHRISTOPHER ,428,boy
GRAYSON ,427,boy
ANTHONY ,422,boy
KAYDEN ,422,boy
PARKER ,407,boy
BAILEY ,406,boy
JAXSON ,405,boy
COLE ,396,boy
SPENCER ,396,boy
COOPER ,390,boy
ERIC ,390,boy
RHYS ,390,boy
MAXIMILIAN ,389,boy
BRADLEY ,388,boy
NICHOLAS ,388,boy
BRODY ,384,boy
HUDSON ,383,boy
FILIP ,382,boy
VINCENT ,380,boy
JONAH ,378,boy
CAMERON ,373,boy
JAKUB ,373,boy
TED ,368,boy
AIDAN ,365,boy
ABDULLAH ,364,boy
RUBEN ,363,boy
TRISTAN ,361,boy
ZAC ,355,boy
KEVIN ,352,boy
LEVI ,348,boy
ELIAS ,342,boy
FLYNN ,342,boy
JASON ,340,boy
AHMED ,338,boy
YAHYA ,333,boy
REX ,328,boy
ASHTON ,327,boy
FRANK ,326,boy
RAYAN ,326,boy
MOHAMED ,321,boy
CHASE ,320,boy
MAXIMUS ,319,boy
MILES ,319,boy
ALAN ,312,boy
JAX ,311,boy
WILFRED ,306,boy
VINNIE ,305,boy
BEAU ,301,boy
EESA ,300,boy
SAM ,300,boy
MARLEY ,297,boy
PETER ,297,boy
ZAYN ,296,boy
OLLY ,294,boy
SYED ,294,boy
HAMZA ,292,boy
KYLE ,288,boy
HAYDEN ,287,boy
JENSEN ,287,boy
JONATHAN ,287,boy
KAIDEN ,286,boy
ROBIN ,286,boy
XAVIER ,283,boy
LUKAS ,279,boy
COREY ,276,boy
OMAR ,275,boy
ZAKARIYA ,274,boy
MARCUS ,273,boy
BEN ,272,boy
ABDUL ,271,boy
LENNY ,271,boy
ANDREW ,268,boy
TAYLOR ,268,boy
MYLES ,267,boy
ANTONI ,266,boy
OSKAR ,266,boy
ZACK ,266,boy
KACPER ,263,boy
FRANCIS ,259,boy
MORGAN ,257,boy
MUSTAFA ,257,boy
JORDAN ,256,boy
REECE ,255,boy
CONOR ,254,boy
ROHAN ,253,boy
ADRIAN ,251,boy
CHRISTIAN ,251,boy
BODHI ,248,boy
CHESTER ,248,boy
ABEL ,247,boy
IDRIS ,247,boy
FREDDY ,245,boy
OTIS ,245,boy
RAYYAN ,244,boy
ZAIN ,242,boy
FLETCHER ,241,boy
LEIGHTON ,241,boy
BARNABY ,240,boy
RAPHAEL ,240,boy
ISAIAH ,237,boy
FRASER ,232,boy
VICTOR ,232,boy
RAFAEL ,229,boy
LAYTON ,226,boy
SIDNEY ,224,boy
ZAK ,224,boy
EDDIE ,220,boy
ARYAN ,218,boy
RIO ,217,boy
BRANDON ,216,boy
DANNY ,216,boy
JAY ,215,boy
LEONARD ,215,boy
MARCEL ,215,boy
MARTIN ,213,boy
BRODIE ,211,boy
UMAR ,207,boy
HECTOR ,206,boy
HASSAN ,205,boy
JOE ,205,boy
MARK ,205,boy
QUINN ,204,boy
EMMANUEL ,203,boy
ALEKSANDER ,202,boy
MICAH ,202,boy
JEREMIAH ,201,boy
LORENZO ,201,boy
JAN ,200,boy
RUFUS ,199,boy
NICOLAS ,197,boy
CASEY ,195,boy
LENNON ,195,boy
XANDER ,195,boy
MALACHI ,194,boy
AHMAD ,193,boy
ARJUN ,193,boy
FABIAN ,190,boy
DOMINIK ,185,boy
ENZO ,185,boy
ISMAIL ,185,boy
RICHARD ,184,boy
ZACH ,183,boy
JOSIAH ,181,boy
RAFFERTY ,181,boy
BUDDY ,180,boy
JULIAN ,180,boy
PHOENIX ,180,boy
PRESTON ,178,boy
OTTO ,177,boy
WYATT ,177,boy
ASHER ,176,boy
DOUGLAS ,175,boy
ARCHER ,174,boy
FRANKLIN ,171,boy
IVAN ,171,boy
HARRI ,170,boy
DECLAN ,169,boy
COHEN ,168,boy
REGINALD ,166,boy
RAFE ,165,boy
TIMOTHY ,162,boy
HARRIS ,161,boy
KIT ,161,boy
SZYMON ,161,boy
TEDDIE ,160,boy
AARAV ,159,boy
PAUL ,159,boy
TRAVIS ,159,boy
AMIR ,158,boy
BILAL ,158,boy
CIAN ,157,boy
COBY ,157,boy
JUNIOR ,156,boy
NATAN ,156,boy
BERTIE ,155,boy
CASPER ,155,boy
AYDEN ,153,boy
EWAN ,153,boy
KIERAN ,153,boy
TOM ,153,boy
SAMI ,152,boy
JIMMY ,151,boy
ERNEST ,150,boy
MILAN ,148,boy
ASHLEY ,146,boy
MARSHALL ,146,boy
MIKOLAJ ,146,boy
PHILIP ,146,boy
AADAM ,145,boy
BROOKLYN ,145,boy
RIVER ,145,boy
RUDY ,145,boy
TOMAS ,144,boy
MONTY ,143,boy
OSIAN ,143,boy
DENIS ,142,boy
OLIVIER ,142,boy
EDEN ,141,boy
MATTEO ,141,boy
NICO ,141,boy
ROMEO ,140,boy
DAMIAN ,139,boy
ZION ,139,boy
BENTLEY ,138,boy
