_unit_id,gender,gender:confidence,random-rank,check,created,description,fav_number,link_color,name,profileimage,retweet_count,sidebar_color,text,tweet_coord,tweet_count,tweet_created,tweet_id,tweet_location,user_timezone
815721875,male,1,0.000841485,1,12/12/2010 16:14,Keep it nonchalant.,3487,F02741,ClitorisWarrior,https://pbs.twimg.com/profile_images/655469964086919168/IyBWcW0G_normal.jpg,0,181A1E,"Phil Collins' ""In the Air"" Chopped and Screwed hardest shit I've heard all day.",NA,2509,10/26/15 12:40,6.59E+17,A Higher Place,Central Time (US & Canada)
815735074,female,1,0.003999993,1,04/08/2009 11:16,"Quite happily married to Prince Charming, loving our life and looking forward to the future.",616,FF0000,slward2012,https://pbs.twimg.com/profile_images/585562144978141186/kQuU9zV4_normal.jpg,0,65B0DA,@S_Russell17  Best wishes and prayers for a speedy recovery. God bless you!,NA,885,10/26/15 13:19,6.59E+17,"Garland, TX",Central Time (US & Canada)
815737163,female,1,0.005040746,1,01/09/2011 18:13,"track and cheer , they call me AnaaBandz",1236,0099B9,RichHomieeAnaa,https://pbs.twimg.com/profile_images/635442029430870017/2SVDxc8W_normal.jpg,0,5ED4DC,Just having a vigina and two titts should not make me less deserving of your time or someone to be disrespected _ôÍ¿,NA,14714,10/26/15 13:19,6.59E+17,"Columbus, OH",Central Time (US & Canada)
815735252,male,1,0.005953,1,10/21/09 7:45,Work hard and have fun doing it. Footballer. #MUFC Instagram: amen_lonewolf,1245,50020,Amen_LoneWolf,https://pbs.twimg.com/profile_images/649715809326137344/bGbHr_Sp_normal.jpg,0,005A87,"The only thing to make in this house is chicken. You think I have time to go and marinade chicken, then wait an hour for it to cook?????????",NA,83090,10/26/15 13:19,6.59E+17,London,London
815736697,female,1,0.013587563,1,05/03/2011 15:03,"Snapchat: almaperez32 https://t.co/2h0zf1QBFl",1613,9266CC,almaperez278,https://pbs.twimg.com/profile_images/643484536517566465/GW4ElvW3_normal.jpg,0,FFFFFF,I'm in love with you and all these little things_ô___ô___ô___ô___ô__,NA,11925,10/26/15 13:19,6.59E+17,"Cruz del Eje, Argentina",Buenos Aires
815737573,male,1,0.021277003,1,9/29/15 23:46,"I'm just your ordinary DJ I want to destroy those damn  DJ heroes annoying scum, my only friend is @RubyRedOctober |DJ Hero|RP|",72,0084B4,AShadowDJ29,https://pbs.twimg.com/profile_images/658152255393280000/OxPiBdWB_normal.jpg,0,C0DEED,@Lovely_Hatred2 He hugged her and smiled softly.,NA,690,10/26/15 13:19,6.59E+17,Shadow Town,NA
815735285,male,1,0.023425035,1,05/05/2009 13:35,"Interests are  comedy (especially British  and The Dollop podcast), some music, some art forms, murmurations,,  circus tent marigolds, elaborate hoaxes, etc..",831,1B00B3,beelaker,https://pbs.twimg.com/profile_images/522125779161735168/FXwiIiWC_normal.jpeg,0,FFFFFF,@JohnLehr    Good luck and hoping it goes through.,NA,1732,10/26/15 13:19,6.59E+17,Boston area,Eastern Time (US & Canada)
815735234,female,1,0.024099217,1,2/19/15 17:32,NA,403,0084B4,mir_0621,https://pbs.twimg.com/profile_images/616079434752262145/PsrmxPiI_normal.jpg,0,C0DEED,When your cousin goes to your work and brags to you about getting shot in the face.. _ôÖê,NA,928,10/26/15 13:19,6.59E+17,New Mexico,NA
815722153,male,1,0.024832871,1,06/09/2013 11:01,"I am a UI/UX developer with a passion for design, seo, internet marketing, food, and my family.",290,0084B4,gorillaads1,https://pbs.twimg.com/profile_images/629046058396487680/MmMpJWVC_normal.jpg,0,FFFFFF,Video: (via The Live Music Capital of the Universe - Branson Tourism Information) https://t.co/qQuUARcLis,NA,848,10/26/15 12:40,6.59E+17,"Branson, MO",NA
815725827,male,1,0.025855526,1,1/31/11 12:34,instagram: marschampion21 Just live people.,413,9999,MarsChampion21,https://pbs.twimg.com/profile_images/464670243780956161/f_MJMxJx_normal.jpeg,0,EEEEEE,"@MichaelRyanRuiz I was watching This Is The End last night. Is that where the ""looks like"" game came from? Ol Danny McBride? Still genius",NA,5477,10/26/15 12:40,6.59E+17,"statesville, nc",Eastern Time (US & Canada)
815720127,male,1,0.027272812,1,6/15/14 13:41,meh.,1748,4A913C,lil_brown_italo,https://pbs.twimg.com/profile_images/637887041246662656/-IW2ey1O_normal.jpg,0,0,"@KOLATRL i dont see his 30 sec on Rih's song as his #1, meanwhile Abel already has CFMF and The Hills _ôÖ_",NA,1560,10/26/15 12:40,6.59E+17,somewhere,Tijuana
815727327,male,1,0.027341653,1,7/31/10 22:50,come over let me blow your mind,3066,3B94D9,brianlkimich,https://pbs.twimg.com/profile_images/658499090934706177/hJ_H18dL_normal.jpg,0,0,I think I'm going to move to Colorado for the winter,NA,2826,10/26/15 12:40,6.59E+17,NA,NA
815725222,female,1,0.027898427,1,10/31/09 9:51,Straight Outta Franklin Park,1137,0084B4,MaryArredia,https://pbs.twimg.com/profile_images/658407292988170241/4JfxSwVh_normal.jpg,0,C0DEED,@WhatTheChelle__ I love you all the time _ôïç_ôè_,NA,1872,10/26/15 12:40,6.59E+17,NA,Central Time (US & Canada)
815734857,male,1,0.030802435,1,2/23/12 8:25,Carlos Valcíçrcel Vallez. Bad boy for life. Los dí_as míçs importantes de tu vida son el dí_a que naciste y el dí_a que descubriste para quí©.  LIFEGUARD.,711,0084B4,CarlosTorrejon8,https://pbs.twimg.com/profile_images/655142080973533184/R09nMR9d_normal.jpg,0,FFFFFF,"Round and round your loving winds me up, like a hula, hula hoop. https://t.co/zMrWMZpcst",NA,4530,10/26/15 13:19,6.59E+17,NA,Madrid
815738602,female,1,0.031011388,1,02/12/2015 15:46,NA,32886,0084B4,0l1l2,https://pbs.twimg.com/profile_images/566020813896179712/SKNNeQwK_normal.jpeg,0,C0DEED,Kourtney Kardashian and Kris Jenner Are Pregnant Again | &amp;brvbar; 3 https://t.co/cLu3HBesrU #kourtneykardashian,NA,356443,10/26/15 13:19,6.59E+17,"Los Angeles, California",Pacific Time (US & Canada)
815731435,female,1,0.03126191,1,06/01/2014 11:24,NA,2768,F5ABB5,haileyyjasmyne,https://pbs.twimg.com/profile_images/640566996913029120/fuuQWYiH_normal.jpg,0,0,@basicallysonam bitch dont read my tweets and scroll,NA,96,10/26/15 13:20,6.59E+17,NA,NA
815720693,male,1,0.033594526,1,07/10/2013 08:36,NA,1,0084B4,easykudu4u,https://pbs.twimg.com/profile_images/378800000609394642/108b7a52e13d650c0fa74260f072fb3a_normal.jpeg,0,C0DEED,"The new Oracle Golden Gate Cloud Service integrates Public Clouds with Private Clouds  #OOW15FR #oow15leoff @easyblogs",NA,93,10/26/15 12:40,6.59E+17,NA,NA
815733938,male,1,0.035071601,1,8/14/11 18:36,"Semi-retired mAd man, network exec., publisher. Managing Editor of the Planet Weekly. Spouse is a brilliant non-fiction writer (IMHO).  Seen in Chantix ad.",75,1F98C7,HerbNeu,https://pbs.twimg.com/profile_images/1514739622/Herb_Neu_smile_headshot_normal.jpg,0,C6E2EE,"Ignore Your Selfish Genes, and Just Adopt https://t.co/PcXQakvWSw via @ozy",NA,3563,10/26/15 13:19,6.59E+17,The deep south,NA
815722034,male,1,0.03900753,1,08/11/2009 01:10,Respect me,2831,0084B4,JonesMichael23,https://pbs.twimg.com/profile_images/657891780831129601/1aFX4Kfo_normal.jpg,0,C0DEED,The way this dude looks just makes me want to knock him out,NA,13315,10/26/15 12:40,6.59E+17,NA,Atlantic Time (Canada)
815722046,male,1,0.039407192,1,10/10/2012 12:16,Up for a tweetr rap battle     Tweet lyrical genius    For the fun of it #HipHop #HipHope,72,0099CC,MCJAMTAA,https://pbs.twimg.com/profile_images/657615564123295744/qtDkp-NX_normal.jpg,0,FFFFFF,We can't change the whole world bt we can change the perspective of the whole world of those around us #FeedAstreetKidKisumu,NA,12481,10/26/15 12:40,6.59E+17,KISUMU CITY,Nairobi
815735612,female,1,0.042046326,1,9/30/12 23:33,I FUCK WITH 1D,15298,F5ABB5,93aesthetic,https://pbs.twimg.com/profile_images/655950777731551232/AtKhg1JN_normal.jpg,0,FFFFFF,BUT SAM IS A GOOD FRIEND AND BOUGHT ME LUNCH BLESS,NA,19934,10/26/15 13:19,6.59E+17,NA,Mountain Time (US & Canada)
815722664,female,1,0.042362374,1,8/28/10 10:12,"Everybody will become a Stalfos.Are you going to be...too?Heh..heh...heh....",4541,93A644,truthtrebles,https://pbs.twimg.com/profile_images/650520275948179457/rR7UZOV0_normal.jpg,0,FFFFFF,@allanwright26 I like the way this kid thinks.,NA,14733,10/26/15 12:40,6.59E+17,NYC,Eastern Time (US & Canada)
815734418,female,1,0.044218032,1,08/08/2015 11:39,"I am Greek Directioner, Zquad and Mixer *:* ä»« I hope one member of One Direction or Little Mix or Zayn Malik follow meä»«",781,0084B4,_IreneMalik,https://pbs.twimg.com/profile_images/656564127968686081/xdUcsLKl_normal.jpg,0,C0DEED,I Just Voted for @onedirection for #ArtistOfTheYear Go Here https://t.co/9ZxtGloXdb and Vote for your favorite! #AMAs #OneDirection,NA,392,10/26/15 13:19,6.59E+17,NA,NA
815738761,male,1,0.045152818,1,6/15/10 13:54,Deh Yah  #NYK #NYG #NYY #NYR,1592,9999,Dreww_Frasss,https://pbs.twimg.com/profile_images/656996970331000832/KGYCkrfL_normal.jpg,1,EEEEEE,Mints and chocolate should NEVER be combined,NA,188235,10/26/15 13:19,6.59E+17,"NYC, Miami, & ya moms kitchen",Quito
815733704,female,1,0.045162718,1,05/02/2013 13:39,probably bitter about something,14019,3B94D9,lizzieolsons,https://pbs.twimg.com/profile_images/654511830602133504/lM6pi7v-_normal.jpg,0,FFFFFF,@banditsnows NO BUT I'VE SEEN IT AND I NEVER WANT TO,NA,40357,10/26/15 13:19,6.59E+17,somewhere in virginia,America/Detroit
815730568,female,1,0.049879913,1,11/14/11 19:53,NA,9166,0084B4,aplanzer,https://pbs.twimg.com/profile_images/654906075477622784/--VBo9Rx_normal.jpg,0,C0DEED,My family is so closed minded when it comes to politics and the government and it drives me insane :-),NA,33365,10/26/15 13:20,6.59E+17,NA,Atlantic Time (Canada)
815724160,male,1,0.050682282,1,11/10/2008 10:13,I write about national politics and sinkholes for @motherjones. ALL TWEETS ARE ON BACKGROUND AND CAN BE ATTRIBUTED TO A SENIOR REPORTER.  202.626.72,2054,0084B4,timothypmurphy,https://pbs.twimg.com/profile_images/413077614224359424/9n8fncT5_normal.jpeg,0,C0DEED,"The only train that's consistently cheap enough for my budget is the one that leaves at 4:55 a.m., so ""quiet car"" is sort of moot, BUT",NA,76163,10/26/15 12:40,6.59E+17,DC,Pacific Time (US & Canada)
815722623,male,1,0.050989231,1,7/19/15 6:24,"Tall, handsome, rich....and a bit of a joker",431,0084B4,MarkSanders1978,https://pbs.twimg.com/profile_images/622760508563816448/VO8eaM7R_normal.jpg,0,C0DEED,Another Adrian James 6 Pack Abs Workout Done! Check it out on the iTunes App Store: https://t.co/B89MxmSJH0 https://t.co/n2P4MJ2DlY,NA,105,10/26/15 12:40,6.59E+17,England,NA
815735094,male,1,0.055631792,1,03/12/2015 01:32,NA,36,0084B4,shafeemohammed8,https://pbs.twimg.com/profile_images/621009425596166144/C3LsOGQ-_normal.jpg,0,C0DEED,"Good night and good sleepSleep well and sweet dreamsSee you bye take care my dear... https://t.co/lhOtWqQmJI",NA,998,10/26/15 13:19,6.59E+17,Al Qussim,NA
815735056,male,1,0.058772742,1,9/27/14 5:44,Good people...bad memories. DePaul University '19,3969,0084B4,Chance_TheRebel,https://pbs.twimg.com/profile_images/654869600455122944/Bn2mf3xm_normal.jpg,0,C0DEED,"I just wanna talk my shit and get my bread, before I end up dead.",NA,6949,10/26/15 13:19,6.59E+17,NA,NA
815732140,female,1,0.060612325,1,1/14/11 16:47,sc: dayjdapope,4749,05080A,dayj_,https://pbs.twimg.com/profile_images/654444891884417024/YPMgNl6w_normal.jpg,0,0,cienna gonna say my face fat and she got that fat ass melon head,NA,118046,10/26/15 13:20,6.59E+17,stackin dollas to da ceiling,Central Time (US & Canada)
815729694,female,1,0.061022287,1,10/11/2012 12:25,Instagram: becieaston,5453,0084B4,becieeastonn,https://pbs.twimg.com/profile_images/655851648208777216/3Jfs8IPm_normal.jpg,0,C0DEED,So annoying that I could drive to Birmingham and back in the time it takes me on the train _ô»‹_ôÖÍ,NA,8217,10/26/15 13:20,6.59E+17,Essex/Birmingham,NA
