name,rate,gender
A,1,boy
A-Jay,1,boy
Aadam,3,boy
Aadarsh,1,boy
Aaden,2,boy
Aadi,1,boy
Aadit,1,boy
Aadrian,1,boy
Aadyanth,1,boy
Aaeryn,1,boy
Aahad,1,boy
Aahil,2,boy
Aahyan,1,boy
Aamir,1,boy
Aaran,2,boy
Aarav,5,boy
Aaren,1,boy
Aari,1,boy
Aarick,1,boy
Aariv,1,boy
Aariz,1,boy
Aarley-Ray,1,boy
Aarlo,1,boy
Aaron,240,boy
Aaron-John,1,boy
Aarran,1,boy
Aarron,1,boy
Aarvin,1,boy
Aaryan,1,boy
Aaryav,2,boy
Aaryn,2,boy
Aaryn-John,1,boy
Aashutosh,1,boy
Aayan,8,boy
Aayden,1,boy
Abaan,1,boy
Abaas,1,boy
Abdallah,2,boy
Abdelmadjid,1,boy
Abdijabar,1,boy
Abdul,6,boy
Abdul-Aziz,1,boy
Abdul-Rafay,1,boy
Abdul-Raheem,1,boy
Abdul-Rahman,2,boy
Abdul-Samee,1,boy
Abdul-Wahhab,1,boy
Abdulahad,1,boy
Abdulaziz,1,boy
Abdulhaadi,2,boy
Abdullah,9,boy
Abdullahi,1,boy
Abdulmohsen,1,boy
Abdulrahman,3,boy
Abdulsalam,1,boy
Abdur-Rahman,2,boy
Abdurahman,3,boy
Abdurraheem,1,boy
Abdurrahman,1,boy
Abdussalam,1,boy
Abe,1,boy
Abel,12,boy
Abhik,1,boy
Abhiram,1,boy
Abid,1,boy
Abiman,1,boy
Abinabi,1,boy
Abir,1,boy
Abiral,1,boy
Aboubakr,1,boy
Abraham,5,boy
Abu,1,boy
Abu-Bakr,1,boy
Abubakar,1,boy
Ace,3,boy
Achilles,1,boy
Acoidan,1,boy
Adair,1,boy
Adam,216,boy
Adan,1,boy
Adas,2,boy
Addie,1,boy
Addison,2,boy
Adebare,1,boy
Adem,4,boy
Adetomiwa,1,boy
Adie,4,boy
Adil,1,boy
Adison,3,boy
Aditya,1,boy
Adiyan,1,boy
Adlai-Joziya,1,boy
Adonay,1,boy
Adrian,15,boy
Adrian-James,1,boy
Adriano,1,boy
Adriel,2,boy
Advik,1,boy
Advith,1,boy
Adyan,1,boy
Aedan,5,boy
Aeden,1,boy
Aedyn,1,boy
Aeson,1,boy
Aethan,1,boy
Affan,1,boy
Agaba,1,boy
Ahaan,1,boy
Ahmad,5,boy
Ahmed,12,boy
Ahmeed,1,boy
Ahmet,2,boy
Ahsan,2,boy
Ahungwa,1,boy
Ahyaan,1,boy
Aidan,86,boy
Aidan-Hugh,1,boy
Aiden,103,boy
Aiden-James,1,boy
Ailbe,2,boy
Aimal,1,boy
Aiman,1,boy
Ainsley,1,boy
Ainsley-Junior,1,boy
Aivis,1,boy
Aj,3,boy
Ajay,10,boy
Ajias,1,boy
Akaalbir,1,boy
Akaash,1,boy
Akash,1,boy
Akhil,1,boy
Akims,1,boy
Akinleye,1,boy
Akira,1,boy
Alaa,1,boy
Alamdaar,1,boy
Alan,33,boy
Alano-James,1,boy
Alaric,1,boy
Alasdair,23,boy
Alastair,11,boy
Alban,1,boy
Alben,1,boy
Albert,18,boy
Albi,2,boy
Albi-George,1,boy
Albie,11,boy
Albus,1,boy
Alby,4,boy
Aldeign,1,boy
Alden,2,boy
Alec,3,boy
Aleks,2,boy
Aleksandar,3,boy
Aleksander,21,boy
Aleksandr,3,boy
Aleksandras,1,boy
Aleksei,1,boy
Alekss,1,boy
Aleksy,1,boy
Alessandro,5,boy
Alessio,1,boy
Alex,75,boy
Alexander,302,boy
Alexander-James,1,boy
Alexander-John,1,boy
Alexander-Jordan,1,boy
Alexandre,1,boy
Alexandros,1,boy
Alexandru,3,boy
Alexzander,1,boy
Alfi,2,boy
Alfie,257,boy
Alfie-Jack,1,boy
Alfie-Jay,2,boy
Alfonso,2,boy
Alfred,11,boy
Alfy,1,boy
Alfye,1,boy
Alhaji,1,boy
Ali,16,boy
Alick,1,boy
Alin,1,boy
Alisdair,2,boy
Alistair,23,boy
Alix,1,boy
Aliyan,1,boy
Aliyu,1,boy
Allain-Junior,1,boy
Allan,20,boy
Allan-John,1,boy
Allen,1,boy
Ally,3,boy
Alpha,1,boy
Alphie,1,boy
Alphonsus,1,boy
Alvan,1,boy
Alvar,1,boy
Alvin,1,boy
Aly,1,boy
Alyaan,1,boy
Alyan,1,boy
Alyn,1,boy
Amaan,2,boy
Amaar,1,boy
Amad,1,boy
Amadou,1,boy
Amat,1,boy
Amaziyah,1,boy
Ambroise,1,boy
Amedeo,1,boy
Ameer,2,boy
Amen,1,boy
Ames,1,boy
Ameziane,1,boy
Amhlaidh,1,boy
Amin,1,boy
Amir,5,boy
Amir-Driss,1,boy
Amirul,1,boy
Amjad,1,boy
Ammaar,1,boy
Ammar,1,boy
Amos,1,boy
Amr,2,boy
Amran,1,boy
Amrit,1,boy
Amyr,1,boy
Anand,1,boy
Anas,4,boy
Anatole,1,boy
Anay,2,boy
Ander,2,boy
Anders,2,boy
Anderson,4,boy
Andra,2,boy
Andras,1,boy
Andre,2,boy
Andrea,1,boy
Andreas,1,boy
Andrei,2,boy
Andrew,135,boy
Andrew-James,2,boy
Andrew-Jayden,1,boy
Andrew-John,1,boy
Andrew-Junior,1,boy
Andy,6,boy
Aneel,1,boy
Anes,1,boy
Anesu,1,boy
Aneurin,3,boy
Anfal,1,boy
Angel,1,boy
Angelo,2,boy
Angis,1,boy
Angus,123,boy
Anhad,1,boy
Aniello,1,boy
Anisor,1,boy
Aniv,1,boy
Anjolaoluwa,1,boy
Anmar,1,boy
Anmol,1,boy
Annas,1,boy
Ansen,1,boy
Anshdeep,1,boy
Anson,2,boy
Anthony,45,boy
Anthony-Jack,1,boy
Anthony-James,1,boy
Anthony-Jon,1,boy
Antoine,1,boy
Anton,6,boy
Antoni,37,boy
Antonio,4,boy
Antony,9,boy
Antu,1,boy
Anvit,1,boy
Anxo,1,boy
Aodhan,2,boy
Aodhan-James,1,boy
Aonghas,1,boy
Aouab,1,boy
Aqeel,2,boy
Ara,1,boy
Arafat,1,boy
Arainn,1,boy
Aran,2,boy
Aras,4,boy
Arav,1,boy
Archer,10,boy
Archi,1,boy
Archibald,14,boy
Archie,228,boy
Archie-Jack,1,boy
Archie-John,2,boy
Archy,2,boy
Arden,2,boy
Ardie,1,boy
Arek,1,boy
Aren,2,boy
Ares,1,boy
Argyle,1,boy
Argyll,1,boy
Arhaan,3,boy
Arham,3,boy
Ari,7,boy
Arian,3,boy
Arinze,1,boy
Aris,1,boy
Aristote,1,boy
Ariyan,1,boy
Arjan,1,boy
Arjit,1,boy
Arjun,1,boy
Arlen,3,boy
Arlind,1,boy
Arlo,73,boy
Arloh,1,boy
Armaan,2,boy
Arman,1,boy
Armand,2,boy
Armando,1,boy
Armin,1,boy
Arnie,1,boy
Arome,1,boy
Aron,4,boy
Aronas,3,boy
Arosh,1,boy
Arragon,1,boy
Arran,127,boy
Arran-James,1,boy
Arrauf,1,boy
Arro,1,boy
Arron,7,boy
Arryn,2,boy
Arsakha,1,boy
Arsh,1,boy
Arsheq,1,boy
Arsyaditama,1,boy
Arteen,1,boy
Artel,1,boy
Arthur,76,boy
Arthur-William,1,boy
Artur,7,boy
Arturs,3,boy
Arun,1,boy
Arvie,1,boy
Arvin,1,boy
Aryan,9,boy
Aryan-Kiyan,1,boy
Arys,1,boy
Asa,1,boy
Asad,1,boy
Asfand,1,boy
Ash,4,boy
Ashar,1,boy
Ashden,1,boy
Ashdyn,1,boy
Asher,4,boy
Ashlamari,1,boy
Ashton,33,boy
Ashvihan,1,boy
Asim,1,boy
Asir,1,boy
Aspen,1,boy
Astin,1,boy
Aston,3,boy
Aston-Jax,1,boy
Atharv,4,boy
Atholl,1,boy
Atmanand,1,boy
Atticus,2,boy
Attila,2,boy
Aubai,1,boy
Aubrey,1,boy
August,3,boy
Augustas,1,boy
Aulay,6,boy
Auley,3,boy
Aurel,1,boy
Aurhyn,1,boy
Auron,3,boy
Austen,5,boy
Austin,63,boy
Auston,1,boy
Austyn,1,boy
Avery,2,boy
Aviraj,2,boy
Avnoor,1,boy
Avram,2,boy
Awab,2,boy
Awais,1,boy
Axel,9,boy
Axl,2,boy
Axton,1,boy
Ayaan,21,boy
Ayan,4,boy
Ayaz,1,boy
Aybel,1,boy
Aydan,1,boy
Ayden,17,boy
Ayden-John,1,boy
Aydin,3,boy
Ayjai,1,boy
Aylen,1,boy
Aylo,1,boy
Ayman,2,boy
Aymar,1,boy
Ayodeji,1,boy
Ayomide-David,1,boy
Ayoub,2,boy
Ayren,1,boy
Ayrin,1,boy
Ayron,1,boy
Ayrton,2,boy
Ayub,1,boy
Ayven,1,boy
Ayyad,1,boy
Ayyan,1,boy
Azaan,5,boy
Azan,2,boy
Azeem,1,boy
Azlaan,1,boy
Azlan,2,boy
Azmar,1,boy
Azz,1,boy
Azzan,1,boy
Baboucarr,1,boy
Bahid,1,boy
Bahos,1,boy
Bailey,38,boy
Baillie,1,boy
Bain,1,boy
Baird,1,boy
Balazs,3,boy
Balfour,1,boy
Balin,1,boy
Barclay,3,boy
Baris,1,boy
Barizar,1,boy
Barnabas,2,boy
Barnaby,2,boy
Barney,1,boy
Barry,6,boy
Bartlomiej,1,boy
Bartosz,7,boy
Barzan,1,boy
Basel,1,boy
Bashir,1,boy
Basil,4,boy
Bastian,1,boy
Baxter,1,boy
Bear,2,boy
Beau,10,boy
Bellamy,1,boy
Ben,107,boy
Benas,1,boy
Bence,1,boy
Benedict,4,boy
Benett,1,boy
Beni,1,boy
Beniamin,1,boy
Benjamin,128,boy
Benny,1,boy
Bentley,4,boy
Benzhi,1,boy
Berat,1,boy
Berkay,1,boy
Bernard,4,boy
Bernardo,1,boy
Bertie,4,boy
Berzan,1,boy
Bhevin,1,boy
Bhodi,1,boy
Bhradain,1,boy
Bilal,2,boy
Billie,1,boy
Billy,14,boy
Billy-Dean,1,boy
Billy-Jo,1,boy
Birrell,1,boy
Bjorn,4,boy
Blaik,1,boy
Blaine,8,boy
Blair,83,boy
Blaise,2,boy
Blake,102,boy
Blane,1,boy
Blase,1,boy
Blayke,1,boy
Blayne,2,boy
Blyss,1,boy
Blyth,2,boy
Bobbey,1,boy
Bobby,25,boy
Bobby-James,1,boy
Bode,1,boy
Bodhi,8,boy
Bodi,1,boy
Boew,1,boy
Bogdan,2,boy
Bohden,1,boy
Boi,1,boy
Boon,1,boy
Boris,1,boy
Borys,2,boy
Bosco,1,boy
Botond,2,boy
Bowie,1,boy
Boyd,5,boy
Bozhidar,1,boy
Brad,1,boy
Bradan,1,boy
Bradley,32,boy
Bradly,1,boy
Brady,5,boy
Braeden,3,boy
Brahmtej,1,boy
Braiden,3,boy
Braiden-Scott,1,boy
Braiens,1,boy
Braigh,1,boy
Bram,2,boy
Brandon,23,boy
Brandon-Lee,3,boy
Brandyn,1,boy
Braven,1,boy
Brax,1,boy
Braxden,1,boy
Braxton,6,boy
Braxtyn,1,boy
Braxx,1,boy
Brayden,15,boy
Braydon,2,boy
Braylan,1,boy
Breandan,1,boy
Brendan,5,boy
Brendon,1,boy
Brennan,3,boy
Brenton,2,boy
Bret,1,boy
Brett,1,boy
Bretton,1,boy
Brian,18,boy
Brian-Anthony,1,boy
Brice,1,boy
Brin,1,boy
Brinley,1,boy
Broady,1,boy
Brochan,1,boy
Brodan,1,boy
Broden,3,boy
Brodi,2,boy
Brodie,182,boy
Brody,47,boy
Brodyn,1,boy
Brogan,7,boy
Brooklyn,14,boy
Broux,1,boy
Bruce,10,boy
Bruno,10,boy
Bryan,6,boy
Bryce,9,boy
Bryden,2,boy
Brydone,1,boy
Bryn,2,boy
Brysen,1,boy
Bryson,1,boy
Buddy,8,boy
Burhan,1,boy
Burton,1,boy
Bzhean,1,boy
C-Jay,2,boy
Cacey,1,boy
Cade,4,boy
Caden,6,boy
Cadin,1,boy
Caeden,3,boy
Caegan,1,boy
Cael,2,boy
Caelan,26,boy
Caelen,1,boy
Caelin,2,boy
Caelum,1,boy
Caelyn-Jaye,1,boy
Cai,3,boy
Caidan,1,boy
Caide,1,boy
Caiden,18,boy
Caiene,1,boy
Cailan,1,boy
Cailean,14,boy
Caileb,5,boy
Caileon,1,boy
Cailin,2,boy
Caillen,1,boy
Cain,3,boy
Caine,2,boy
Caio,1,boy
Cairan,1,boy
Cairn,9,boy
Cairo,1,boy
Caisey,1,boy
Caius,1,boy
Cal,4,boy
Calaeb,1,boy
Calan,4,boy
Calder,4,boy
Caleb,141,boy
Caleb-Jay,1,boy
Caleb-Ryan,1,boy
Caled,1,boy
Calen,2,boy
Calin,1,boy
Calix-Hans,1,boy
Callan,68,boy
Callen,16,boy
Calley,1,boy
Callie,1,boy
Callum,194,boy
Calum,80,boy
Calvin,82,boy
Calvin-Daniel,1,boy
Calvinlee,1,boy
Camden,1,boy
Cameron,181,boy
Cameron-Jack,1,boy
Cammie,1,boy
Cammy,2,boy
Campbell,31,boy
Camryn,2,boy
Caolan,2,boy
Carl,2,boy
